TOC Criteria,Origin,Origin_Code,Destination,Destination_Code,Date_accessed,Time_searched_against,Departure_Gap,Departure_Date,Departure_Day,Departure_time,Arrival_time,Duration,Changes,Price,Fare_Route_Description,Fare_Provider,TOC_Name,TOC_Provider,Ticket_type,nre_fare_category
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,3,22/07/19,Monday,08:31,10:09,1:38,0,54.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,1528,9,28/07/19,Sunday,15:28,17:14,1:46,0,44.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,32,20/08/19,Tuesday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,3,22/07/19,Monday,08:31,10:09,1:38,0,54.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,1528,9,28/07/19,Sunday,15:28,17:14,1:46,0,44.0,Only valid on booked Hull Trains services.,Hull Trains,Hull Trains,Hull Trains,Advance (Standard Class),RESTRICTED
All TOCs,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,32,20/08/19,Tuesday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,3,22/07/19,Monday,08:31,10:09,1:38,0,54.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,1528,9,28/07/19,Sunday,16:27,17:56,1:29,0,31.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,32,20/08/19,Tuesday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,3,22/07/19,Monday,08:31,10:09,1:38,0,54.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,1528,9,28/07/19,Sunday,16:27,17:56,1:29,0,31.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,32,20/08/19,Tuesday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,3,22/07/19,Monday,08:49,10:31,1:42,0,83.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,1528,9,28/07/19,Sunday,15:37,17:28,1:51,0,46.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,32,20/08/19,Tuesday,08:31,10:09,1:38,0,37.5,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,3,22/07/19,Monday,08:49,10:31,1:42,0,83.0,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,1528,9,28/07/19,Sunday,15:37,17:28,1:51,0,46.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,Doncaster,DON,London Kings Cross,KGX,20190719_11-16,0831,32,20/08/19,Tuesday,08:49,10:31,1:42,0,46.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,3,22/07/19,Monday,23:33,01:24,1:51,0,14.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,1550,9,28/07/19,Sunday,15:50,17:17,1:27,0,45.0,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,32,20/08/19,Tuesday,23:33,01:24,1:51,0,14.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,3,22/07/19,Monday,23:33,01:24,1:51,0,14.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,1550,9,28/07/19,Sunday,15:50,17:17,1:27,0,45.0,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
All TOCs,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,32,20/08/19,Tuesday,23:33,01:24,1:51,0,14.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GC,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,3,22/07/19,Monday,10:57,12:27,1:30,0,21.0,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,1550,9,28/07/19,Sunday,15:50,17:17,1:27,0,45.0,Valid only on Grand Central services.,Grand Central,Grand Central,Grand Central,Off-Peak Single,FLEXIBLE
GC,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,32,20/08/19,Tuesday,10:57,12:27,1:30,0,12.0,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,3,22/07/19,Monday,10:57,12:27,1:30,0,21.0,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,1550,9,28/07/19,Sunday,15:50,17:17,1:27,0,45.0,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GC,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,32,20/08/19,Tuesday,10:57,12:27,1:30,0,12.0,Only valid on booked Grand Central services.,Grand Central,Grand Central,Grand Central,Advance (Standard Class),RESTRICTED
GR,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,3,22/07/19,Monday,23:33,01:24,1:51,0,14.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,1550,9,28/07/19,Sunday,16:05,17:49,1:44,0,38.8,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,32,20/08/19,Tuesday,23:33,01:24,1:51,0,14.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,3,22/07/19,Monday,23:33,01:24,1:51,0,14.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,1550,9,28/07/19,Sunday,16:05,17:49,1:44,0,38.8,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
GR,London Kings Cross,KGX,Doncaster,DON,20190719_11-16,2330,32,20/08/19,Tuesday,23:33,01:24,1:51,0,14.5,Only valid on booked London North Eastern Railway services and required connecting services.,London North Eastern Railway,London North Eastern Railway,London North Eastern Railway,Advance (Standard Class),RESTRICTED
